Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2015-12-31;238.51;243.45;238.37;240.01;2715038.0;0.0;1.0;238.51;243.45;238.37;240.01;2715038.0
2016-01-04;230.72;231.38;219.0;223.41;6827146.0;0.0;1.0;230.72;231.38;219.0;223.41;6827146.0
2016-01-05;226.36;226.89;220.0;223.43;3186752.0;0.0;1.0;226.36;226.89;220.0;223.43;3186752.0
2016-01-06;220.0;220.05;215.98;219.04;3779128.0;0.0;1.0;220.0;220.05;215.98;219.04;3779128.0
2016-01-07;214.19;218.44;213.67;215.65;3554251.0;0.0;1.0;214.19;218.44;213.67;215.65;3554251.0
2016-01-08;217.86;220.44;210.77;211.0;3628058.0;0.0;1.0;217.86;220.44;210.77;211.0;3628058.0
2016-01-11;214.01;214.45;203.0;207.85;4091422.0;0.0;1.0;214.01;214.45;203.0;207.85;4091422.0
2016-01-12;211.6;213.7395;205.31;209.97;3091917.0;0.0;1.0;211.6;213.7395;205.31;209.97;3091917.0
2016-01-13;212.01;212.65;200.0;200.31;4126416.0;0.0;1.0;212.01;212.65;200.0;200.31;4126416.0
2016-01-14;202.21;210.0;193.38;206.18;6490741.0;0.0;1.0;202.21;210.0;193.38;206.18;6490741.0
2016-01-15;198.97;205.07;197.25;204.99;5578640.0;0.0;1.0;198.97;205.07;197.25;204.99;5578640.0
2016-01-19;208.71;210.47;200.78;204.72;4038676.0;0.0;1.0;208.71;210.47;200.78;204.72;4038676.0
2016-01-20;199.4;201.28;191.25;198.7;5838608.0;0.0;1.0;199.4;201.28;191.25;198.7;5838608.0
2016-01-21;201.55;203.23;195.02;199.97;3166159.0;0.0;1.0;201.55;203.23;195.02;199.97;3166159.0
2016-01-22;204.8005;205.5;199.03;202.55;3124055.0;0.0;1.0;204.8005;205.5;199.03;202.55;3124055.0
2016-01-25;200.06;203.57;195.88;196.38;2698739.0;0.0;1.0;200.06;203.57;195.88;196.38;2698739.0
2016-01-26;196.7;197.82;188.88;193.56;4964180.0;0.0;1.0;196.7;197.82;188.88;193.56;4964180.0
2016-01-27;192.38;193.26;185.77;188.07;3617221.0;0.0;1.0;192.38;193.26;185.77;188.07;3617221.0
2016-01-28;190.79;191.28;182.41;189.7;4592754.0;0.0;1.0;190.79;191.28;182.41;189.7;4592754.0
2016-01-29;189.95;193.74;188.08;191.2;2852289.0;0.0;1.0;189.95;193.74;188.08;191.2;2852289.0
2016-02-01;188.76;199.52;182.75;196.94;5297639.0;0.0;1.0;188.76;199.52;182.75;196.94;5297639.0
2016-02-02;192.42;193.12;180.23;182.78;5773637.0;0.0;1.0;192.42;193.12;180.23;182.78;5773637.0
2016-02-03;183.59;183.94;170.18;173.48;7931362.0;0.0;1.0;183.59;183.94;170.18;173.48;7931362.0
2016-02-04;170.7;175.98;166.99;175.33;4385366.0;0.0;1.0;170.7;175.98;166.99;175.33;4385366.0
2016-02-05;171.3;173.0;157.7442;162.6;9437591.0;0.0;1.0;171.3;173.0;157.7442;162.6;9437591.0
2016-02-08;157.105;157.15;146.0;147.99;9312988.0;0.0;1.0;157.105;157.15;146.0;147.99;9312988.0
2016-02-09;142.32;159.79;141.05;148.25;8651648.0;0.0;1.0;142.32;159.79;141.05;148.25;8651648.0
2016-02-10;150.5;154.97;141.74;143.67;10406513.0;0.0;1.0;150.5;154.97;141.74;143.67;10406513.0
2016-02-11;152.0;163.26;147.0;150.47;14252364.0;0.0;1.0;152.0;163.26;147.0;150.47;14252364.0
2016-02-12;155.0;157.01;143.7;151.04;7235783.0;0.0;1.0;155.0;157.01;143.7;151.04;7235783.0
2016-02-16;158.7;162.95;154.11;155.17;5593794.0;0.0;1.0;158.7;162.95;154.11;155.17;5593794.0
2016-02-17;159.0;169.34;156.68;168.68;5825159.0;0.0;1.0;159.0;169.34;156.68;168.68;5825159.0
2016-02-18;172.42;172.95;164.77;166.77;3887574.0;0.0;1.0;172.42;172.95;164.77;166.77;3887574.0
2016-02-19;163.66;167.49;162.5;166.58;2959390.0;0.0;1.0;163.66;167.49;162.5;166.58;2959390.0
2016-02-22;170.12;178.91;169.85;177.74;5060051.0;0.0;1.0;170.12;178.91;169.85;177.74;5060051.0
2016-02-23;176.16;181.73;173.68;177.21;5984374.0;0.0;1.0;176.16;181.73;173.68;177.21;5984374.0
2016-02-24;172.75;179.5;167.84;179.0;5395609.0;0.0;1.0;172.75;179.5;167.84;179.0;5395609.0
2016-02-25;178.65;188.5192;175.2;187.43;5750741.0;0.0;1.0;178.65;188.5192;175.2;187.43;5750741.0
2016-02-26;188.7;192.0;185.0;190.34;6065117.0;0.0;1.0;188.7;192.0;185.0;190.34;6065117.0
2016-02-29;192.4;196.35;189.222;191.93;4498997.0;0.0;1.0;192.4;196.35;189.222;191.93;4498997.0
2016-03-01;194.25;195.9484;182.7;186.35;6712159.0;0.0;1.0;194.25;195.9484;182.7;186.35;6712159.0
2016-03-02;183.73;188.52;181.5;188.34;4862396.0;0.0;1.0;183.73;188.52;181.5;188.34;4862396.0
2016-03-03;188.28;197.42;184.22;195.74;4829018.0;0.0;1.0;188.28;197.42;184.22;195.74;4829018.0
2016-03-04;198.0;204.03;197.5001;201.04;6489058.0;0.0;1.0;198.0;204.03;197.5001;201.04;6489058.0
2016-03-07;197.68;209.7;197.4;205.29;5337072.0;0.0;1.0;197.68;209.7;197.4;205.29;5337072.0
2016-03-08;203.5;207.5;202.2;202.6;3978722.0;0.0;1.0;203.5;207.5;202.2;202.6;3978722.0
2016-03-09;204.52;209.3726;202.79;208.72;3208554.0;0.0;1.0;204.52;209.3726;202.79;208.72;3208554.0
2016-03-10;210.0;213.29;200.671;205.18;5192523.0;0.0;1.0;210.0;213.29;200.671;205.18;5192523.0
2016-03-11;207.93;209.42;205.33;207.5;3343077.0;0.0;1.0;207.93;209.42;205.33;207.5;3343077.0
2016-03-14;212.65;216.72;210.64;215.15;4065706.0;0.0;1.0;212.65;216.72;210.64;215.15;4065706.0
2016-03-15;214.27;218.97;211.5;218.34;3180452.0;0.0;1.0;214.27;218.97;211.5;218.34;3180452.0
2016-03-16;218.0;222.58;217.02;221.93;3516703.0;0.0;1.0;218.0;222.58;217.02;221.93;3516703.0
2016-03-17;221.47;228.5;220.0;226.38;3782891.0;0.0;1.0;221.47;228.5;220.0;226.38;3782891.0
2016-03-18;229.1;234.48;228.06;232.74;4711793.0;0.0;1.0;229.1;234.48;228.06;232.74;4711793.0
2016-03-21;235.34;239.88;235.0;238.32;5307822.0;0.0;1.0;235.34;239.88;235.0;238.32;5307822.0
2016-03-22;237.21;238.99;232.558;234.24;4315988.0;0.0;1.0;237.21;238.99;232.558;234.24;4315988.0
2016-03-23;232.37;234.73;222.03;222.58;4948841.0;0.0;1.0;232.37;234.73;222.03;222.58;4948841.0
2016-03-24;215.78;228.8877;215.0;227.75;4960900.0;0.0;1.0;215.78;228.8877;215.0;227.75;4960900.0
2016-03-28;231.61;234.81;225.0;230.26;3925685.0;0.0;1.0;231.61;234.81;225.0;230.26;3925685.0
2016-03-29;229.89;232.38;225.33;230.13;4014330.0;0.0;1.0;229.89;232.38;225.33;230.13;4014330.0
2016-03-30;235.09;235.5;226.5;226.89;4032982.0;0.0;1.0;235.09;235.5;226.5;226.89;4032982.0
2016-03-31;229.34;237.42;225.01;229.77;8012872.0;0.0;1.0;229.34;237.42;225.01;229.77;8012872.0
2016-04-01;244.825;247.9;233.25;237.59;15997509.0;0.0;1.0;244.825;247.9;233.25;237.59;15997509.0
2016-04-04;249.12;252.12;243.64;246.99;13475327.0;0.0;1.0;249.12;252.12;243.64;246.99;13475327.0
2016-04-05;240.5;256.56;240.0;255.47;9948699.0;0.0;1.0;240.5;256.56;240.0;255.47;9948699.0
2016-04-06;253.97;267.74;253.45;265.42;11705479.0;0.0;1.0;253.97;267.74;253.45;265.42;11705479.0
2016-04-07;266.45;269.34;254.51;257.2;8856171.0;0.0;1.0;266.45;269.34;254.51;257.2;8856171.0
2016-04-08;260.5;260.82;248.0201;250.07;7363935.0;0.0;1.0;260.5;260.82;248.0201;250.07;7363935.0
2016-04-11;251.0;258.99;245.3;249.92;9161693.0;0.0;1.0;251.0;258.99;245.3;249.92;9161693.0
2016-04-12;249.5;251.8;243.63;247.82;5763208.0;0.0;1.0;249.5;251.8;243.63;247.82;5763208.0
2016-04-13;248.51;255.5;247.33;254.53;4925595.0;0.0;1.0;248.51;255.5;247.33;254.53;4925595.0
2016-04-14;253.0;256.839;251.0501;251.86;4132185.0;0.0;1.0;253.0;256.839;251.0501;251.86;4132185.0
2016-04-15;251.31;254.6;249.12;254.51;3752366.0;0.0;1.0;251.31;254.6;249.12;254.51;3752366.0
2016-04-18;252.23;258.31;251.66;253.88;4271362.0;0.0;1.0;252.23;258.31;251.66;253.88;4271362.0
2016-04-19;253.12;254.3699;241.251;247.37;6357526.0;0.0;1.0;253.12;254.3699;241.251;247.37;6357526.0
2016-04-20;246.26;253.66;241.5;249.97;5194051.0;0.0;1.0;246.26;253.66;241.5;249.97;5194051.0
2016-04-21;248.99;250.9;246.91;248.29;2783059.0;0.0;1.0;248.99;250.9;246.91;248.29;2783059.0
2016-04-22;248.89;254.0;245.71;253.75;3786327.0;0.0;1.0;248.89;254.0;245.71;253.75;3786327.0
2016-04-25;253.01;257.38;250.76;251.82;3670348.0;0.0;1.0;253.01;257.38;250.76;251.82;3670348.0
2016-04-26;252.05;255.73;249.39;253.74;3223839.0;0.0;1.0;252.05;255.73;249.39;253.74;3223839.0
2016-04-27;252.75;255.0;249.4;251.47;3205808.0;0.0;1.0;252.75;255.0;249.4;251.47;3205808.0
2016-04-28;249.85;253.43;247.44;247.71;2518990.0;0.0;1.0;249.85;253.43;247.44;247.71;2518990.0
2016-04-29;248.14;248.43;237.81;240.76;5413787.0;0.0;1.0;248.14;248.43;237.81;240.76;5413787.0
2016-05-02;241.5;243.19;234.82;241.8;3843935.0;0.0;1.0;241.5;243.19;234.82;241.8;3843935.0
2016-05-03;237.36;238.91;231.62;232.32;4302222.0;0.0;1.0;237.36;238.91;231.62;232.32;4302222.0
2016-05-04;230.29;234.46;220.4;222.56;8700459.0;0.0;1.0;230.29;234.46;220.4;222.56;8700459.0
2016-05-05;228.46;228.64;209.79;211.53;11254827.0;0.0;1.0;228.46;228.64;209.79;211.53;11254827.0
2016-05-06;210.87;216.37;208.11;214.93;5685237.0;0.0;1.0;210.87;216.37;208.11;214.93;5685237.0
2016-05-09;215.72;216.15;206.8;208.92;4776383.0;0.0;1.0;215.72;216.15;206.8;208.92;4776383.0
2016-05-10;207.55;209.47;205.0;208.69;4070617.0;0.0;1.0;207.55;209.47;205.0;208.69;4070617.0
2016-05-11;207.59;215.48;206.05;208.96;5161864.0;0.0;1.0;207.59;215.48;206.05;208.96;5161864.0
2016-05-12;211.44;211.67;203.6572;207.28;3650475.0;0.0;1.0;211.44;211.67;203.6572;207.28;3650475.0
2016-05-13;207.78;211.2;206.7;207.61;2822781.0;0.0;1.0;207.78;211.2;206.7;207.61;2822781.0
2016-05-16;208.15;213.15;207.92;208.29;2949396.0;0.0;1.0;208.15;213.15;207.92;208.29;2949396.0
2016-05-17;209.05;209.8199;204.02;204.66;2843597.0;0.0;1.0;209.05;209.8199;204.02;204.66;2843597.0
2016-05-18;209.15;215.31;207.75;211.17;5617519.0;0.0;1.0;209.15;215.31;207.75;211.17;5617519.0
2016-05-19;213.62;216.79;207.3;215.21;6866321.0;0.0;1.0;213.62;216.79;207.3;215.21;6866321.0
2016-05-20;216.99;220.55;216.35;220.28;9007076.0;0.0;1.0;216.99;220.55;216.35;220.28;9007076.0
2016-05-23;219.87;222.6;215.86;216.22;5102479.0;0.0;1.0;219.87;222.6;215.86;216.22;5102479.0
2016-05-24;216.6;218.74;215.18;217.91;3013843.0;0.0;1.0;216.6;218.74;215.18;217.91;3013843.0
2016-05-25;217.91;221.36;216.51;219.58;3132615.0;0.0;1.0;217.91;221.36;216.51;219.58;3132615.0
2016-05-26;220.5;225.26;219.05;225.12;4072424.0;0.0;1.0;220.5;225.26;219.05;225.12;4072424.0
2016-05-27;224.99;225.93;220.75;223.04;3650272.0;0.0;1.0;224.99;225.93;220.75;223.04;3650272.0
2016-05-31;223.04;224.7497;221.5001;223.23;2789002.0;0.0;1.0;223.04;224.7497;221.5001;223.23;2789002.0
2016-06-01;221.48;222.4;216.89;219.56;2982695.0;0.0;1.0;221.48;222.4;216.89;219.56;2982695.0
2016-06-02;219.59;219.909;217.11;218.96;2032832.0;0.0;1.0;219.59;219.909;217.11;218.96;2032832.0
2016-06-03;220.0;221.94;218.01;218.99;2228970.0;0.0;1.0;220.0;221.94;218.01;218.99;2228970.0
2016-06-06;218.0;220.9;215.45;220.68;2249508.0;0.0;1.0;218.0;220.9;215.45;220.68;2249508.0
2016-06-07;222.24;234.44;221.52;232.34;6213573.0;0.0;1.0;222.24;234.44;221.52;232.34;6213573.0
2016-06-08;233.8;240.845;232.605;235.52;5971995.0;0.0;1.0;233.8;240.845;232.605;235.52;5971995.0
2016-06-09;234.98;235.33;227.06;229.36;4492075.0;0.0;1.0;234.98;235.33;227.06;229.36;4492075.0
2016-06-10;227.39;227.97;218.4217;218.79;6026603.0;0.0;1.0;227.39;227.97;218.4217;218.79;6026603.0
2016-06-13;219.5;225.77;217.66;217.87;4193022.0;0.0;1.0;219.5;225.77;217.66;217.87;4193022.0
2016-06-14;218.88;222.2;212.53;214.96;3580167.0;0.0;1.0;218.88;222.2;212.53;214.96;3580167.0
2016-06-15;216.95;221.9;215.13;217.7;2908522.0;0.0;1.0;216.95;221.9;215.13;217.7;2908522.0
2016-06-16;217.42;218.04;213.5;217.93;2440259.0;0.0;1.0;217.42;218.04;213.5;217.93;2440259.0
2016-06-17;217.81;219.99;214.5;215.47;3112620.0;0.0;1.0;217.81;219.99;214.5;215.47;3112620.0
2016-06-20;219.5;223.75;218.23;219.7;3555471.0;0.0;1.0;219.5;223.75;218.23;219.7;3555471.0
2016-06-21;220.68;222.569;218.81;219.61;4529005.0;0.0;1.0;220.68;222.569;218.81;219.61;4529005.0
2016-06-22;199.47;205.95;195.75;196.66;23742414.0;0.0;1.0;199.47;205.95;195.75;196.66;23742414.0
2016-06-23;195.69;197.55;192.13;196.4;10130748.0;0.0;1.0;195.69;197.55;192.13;196.4;10130748.0
2016-06-24;190.05;195.12;189.73;193.15;7026516.0;0.0;1.0;190.05;195.12;189.73;193.15;7026516.0
2016-06-27;190.86;198.81;187.87;198.55;7220323.0;0.0;1.0;190.86;198.81;187.87;198.55;7220323.0
2016-06-28;201.89;204.05;199.41;201.79;6212422.0;0.0;1.0;201.89;204.05;199.41;201.79;6212422.0
2016-06-29;205.13;211.78;203.0;210.19;5994908.0;0.0;1.0;205.13;211.78;203.0;210.19;5994908.0
2016-06-30;212.97;213.4999;209.02;212.28;4843111.0;0.0;1.0;212.97;213.4999;209.02;212.28;4843111.0
2016-07-01;206.14;218.24;206.0;216.5;5399951.0;0.0;1.0;206.14;218.24;206.0;216.5;5399951.0
2016-07-05;209.73;214.5441;208.0;213.98;5175345.0;0.0;1.0;209.73;214.5441;208.0;213.98;5175345.0
2016-07-06;210.0;215.23;209.0;214.44;4919855.0;0.0;1.0;210.0;215.23;209.0;214.44;4919855.0
2016-07-07;213.1;218.12;213.01;215.94;3612022.0;0.0;1.0;213.1;218.12;213.01;215.94;3612022.0
2016-07-08;217.8;219.81;214.5;216.78;4074785.0;0.0;1.0;217.8;219.81;214.5;216.78;4074785.0
2016-07-11;219.96;226.78;219.51;224.78;5429823.0;0.0;1.0;219.96;226.78;219.51;224.78;5429823.0
2016-07-12;224.1;227.5;223.22;224.65;4576165.0;0.0;1.0;224.1;227.5;223.22;224.65;4576165.0
2016-07-13;225.5;225.59;220.29;222.53;3567062.0;0.0;1.0;225.5;225.59;220.29;222.53;3567062.0
2016-07-14;223.12;224.94;221.05;221.53;2675834.0;0.0;1.0;223.12;224.94;221.05;221.53;2675834.0
2016-07-15;222.52;222.7499;219.64;220.4;2234247.0;0.0;1.0;222.52;222.7499;219.64;220.4;2234247.0
2016-07-18;219.64;227.09;218.3;226.25;3412055.0;0.0;1.0;219.64;227.09;218.3;226.25;3412055.0
2016-07-19;225.0;229.1;224.75;225.26;3115065.0;0.0;1.0;225.0;229.1;224.75;225.26;3115065.0
2016-07-20;226.47;229.8;225.0;228.36;2568498.0;0.0;1.0;226.47;229.8;225.0;228.36;2568498.0
2016-07-21;226.0;227.847;219.1;220.5;4428651.0;0.0;1.0;226.0;227.847;219.1;220.5;4428651.0
2016-07-22;221.99;224.5;218.88;222.27;2579692.0;0.0;1.0;221.99;224.5;218.88;222.27;2579692.0
2016-07-25;222.27;231.39;221.3715;230.01;4490683.0;0.0;1.0;222.27;231.39;221.3715;230.01;4490683.0
2016-07-26;227.69;230.0;225.3;229.51;3430042.0;0.0;1.0;227.69;230.0;225.3;229.51;3430042.0
2016-07-27;229.34;233.36;226.92;228.49;2889007.0;0.0;1.0;229.34;233.36;226.92;228.49;2889007.0
2016-07-28;227.95;230.76;226.6;230.61;2419059.0;0.0;1.0;227.95;230.76;226.6;230.61;2419059.0
2016-07-29;230.7;235.28;230.24;234.79;3070813.0;0.0;1.0;230.7;235.28;230.24;234.79;3070813.0
2016-08-01;235.5;236.63;229.38;230.01;4016284.0;0.0;1.0;235.5;236.63;229.38;230.01;4016284.0
2016-08-02;229.37;229.87;221.4;227.2;3934432.0;0.0;1.0;229.37;229.87;221.4;227.2;3934432.0
2016-08-03;227.37;229.699;224.21;225.79;3887759.0;0.0;1.0;227.37;229.699;224.21;225.79;3887759.0
2016-08-04;225.69;230.86;222.05;230.61;4146997.0;0.0;1.0;225.69;230.86;222.05;230.61;4146997.0
2016-08-05;230.0;232.0;227.4;230.03;3205215.0;0.0;1.0;230.0;232.0;227.4;230.03;3205215.0
2016-08-08;228.0;229.6;226.09;226.16;2263584.0;0.0;1.0;228.0;229.6;226.09;226.16;2263584.0
2016-08-09;226.82;231.5375;226.65;229.08;2207833.0;0.0;1.0;226.82;231.5375;226.65;229.08;2207833.0
2016-08-10;228.24;229.87;224.62;225.65;2338301.0;0.0;1.0;228.24;229.87;224.62;225.65;2338301.0
2016-08-11;226.17;227.57;223.41;224.91;1880936.0;0.0;1.0;226.17;227.57;223.41;224.91;1880936.0
2016-08-12;225.41;226.65;224.04;225.61;1813540.0;0.0;1.0;225.41;226.65;224.04;225.61;1813540.0
2016-08-15;226.02;229.5;224.93;225.59;2034328.0;0.0;1.0;226.02;229.5;224.93;225.59;2034328.0
2016-08-16;225.49;227.19;223.4101;223.61;2267147.0;0.0;1.0;225.49;227.19;223.4101;223.61;2267147.0
2016-08-17;224.33;224.83;222.8;223.24;1787127.0;0.0;1.0;224.33;224.83;222.8;223.24;1787127.0
2016-08-18;223.82;225.66;222.29;223.51;1714467.0;0.0;1.0;223.82;225.66;222.29;223.51;1714467.0
2016-08-19;223.54;225.169;222.53;225.0;1659530.0;0.0;1.0;223.54;225.169;222.53;225.0;1659530.0
2016-08-22;224.17;225.11;222.68;222.93;2065493.0;0.0;1.0;224.17;225.11;222.68;222.93;2065493.0
2016-08-23;224.32;228.49;222.8;224.84;4784418.0;0.0;1.0;224.32;228.49;222.8;224.84;4784418.0
2016-08-24;227.05;227.15;222.22;222.62;2570693.0;0.0;1.0;227.05;227.15;222.22;222.62;2570693.0
2016-08-25;223.11;223.8;220.77;220.96;1762519.0;0.0;1.0;223.11;223.8;220.77;220.96;1762519.0
2016-08-26;222.14;222.855;218.82;219.99;2238992.0;0.0;1.0;222.14;222.855;218.82;219.99;2238992.0
